x_HyMap_Haib_Kornia.jpg,y_HyMap_Haib_Kornia.jpg,x_WV3_Haib_Kornia.jpg,y_WV3_Haib_Kornia.jpg
877,210,868,236
26,211,40,197
112,211,126,202
228,213,237,206
78,215,91,200
141,215,146,197
310,215,317,211
164,217,174,205
788,217,782,235
825,217,817,238
738,218,730,236
254,219,263,212
769,219,761,237
780,219,775,238
807,219,800,239
861,219,852,242
870,219,862,242
178,220,190,211
209,221,218,213
218,221,227,212
263,221,271,215
798,221,791,241
190,222,200,212
272,223,279,216
329,223,334,219
202,224,210,214
58,225,72,208
164,225,174,213
787,225,782,243
145,226,152,211
724,226,718,241
253,227,260,218
338,227,343,223
173,228,185,216
758,228,752,244
829,228,821,248
708,229,699,247
102,230,114,215
193,230,202,219
822,230,814,249
282,231,291,226
814,231,803,252
854,231,845,252
302,232,308,227
351,232,356,227
177,233,188,223
806,233,803,252
227,234,234,224
289,234,297,229
318,234,322,230
201,237,209,227
603,237,603,246
166,238,178,227
812,238,807,257
869,238,861,260
264,239,271,228
91,240,103,223
242,240,249,230
730,240,724,254
820,240,814,260
183,241,193,230
835,241,826,261
583,242,584,249
219,243,228,232
209,244,217,232
287,244,294,237
18,245,31,224
62,245,74,227
337,245,343,239
606,245,606,253
848,245,838,262
701,246,694,258
721,247,716,261
54,248,66,228
153,248,162,233
273,249,281,242
645,249,644,258
901,249,894,272
513,250,512,248
243,251,250,241
292,251,298,243
496,251,496,253
635,251,633,260
814,251,809,268
584,252,584,258
162,253,170,237
324,253,329,247
850,253,841,273
117,254,125,236
136,254,145,237
344,254,349,248
187,255,195,242
513,257,515,259
733,257,725,270
142,258,150,241
178,258,187,243
196,258,204,245
250,259,257,248
563,259,562,264
355,260,359,255
550,260,549,263
537,261,538,265
126,262,135,244
151,262,161,247
188,262,196,246
601,262,599,268
803,262,798,277
360,263,363,257
194,264,202,252
571,264,570,267
118,266,125,247
482,266,483,267
498,266,498,268
818,266,811,283
902,267,894,287
166,268,176,253
634,268,631,276
171,269,181,254
186,269,193,254
726,269,722,285
463,271,462,271
614,271,614,278
132,273,139,254
276,273,283,263
342,273,348,267
192,274,201,260
271,274,277,263
517,274,517,282
636,274,631,276
357,275,361,267
451,276,451,270
829,276,818,293
505,277,504,277
578,277,576,282
847,277,833,298
208,278,216,264
871,278,859,297
110,279,117,259
181,279,188,265
242,279,249,268
255,279,263,268
316,279,321,271
334,279,339,271
215,280,222,268
517,280,517,282
640,280,636,284
32,281,44,257
721,281,715,292
244,282,249,268
63,283,73,257
190,284,198,269
42,285,55,262
202,285,209,271
289,285,295,275
337,285,339,271
847,285,833,298
222,286,231,275
319,286,321,271
478,286,479,285
506,286,507,287
754,286,748,298
874,286,863,304
111,288,117,267
796,288,788,300
214,289,223,278
98,290,104,270
174,290,180,274
189,290,196,275
607,290,604,295
295,291,299,279
593,291,591,295
856,291,844,307
248,293,254,279
839,293,827,308
205,294,212,279
601,295,597,304
486,296,490,294
775,296,772,306
111,297,118,275
101,298,107,276
171,298,180,280
194,298,202,282
608,299,605,302
131,301,137,282
600,301,597,304
17,303,28,277
269,303,275,291
878,304,868,324
143,306,149,285
342,306,348,297
489,306,489,302
217,307,223,290
113,308,120,289
120,308,125,285
434,309,434,306
668,309,665,313
47,310,58,286
677,310,665,313
94,311,100,287
194,311,200,295
476,311,476,308
568,311,570,309
84,312,91,290
591,312,587,313
645,312,642,316
135,313,142,292
489,314,486,311
298,315,301,304
157,316,162,296
202,316,207,298
607,316,602,317
889,316,877,332
289,317,290,303
699,317,689,319
809,317,797,328
232,318,237,302
278,318,281,304
357,318,357,306
669,318,664,323
103,319,106,294
594,320,591,321
92,321,97,296
642,321,639,324
149,322,156,301
882,322,872,337
720,323,710,331
121,324,126,302
205,325,208,304
533,325,528,323
602,326,598,327
77,327,84,302
278,327,281,313
174,328,177,307
713,328,710,331
488,329,484,324
846,329,836,344
861,329,849,342
873,329,862,343
88,330,93,303
192,330,194,307
336,330,337,318
344,330,344,317
517,330,512,326
154,332,160,310
410,332,408,321
507,332,504,328
524,332,519,328
130,333,134,311
284,333,285,317
178,334,182,313
669,335,663,340
842,335,832,346
479,336,474,330
866,336,857,350
108,337,115,314
311,338,313,323
340,338,341,325
770,339,761,348
631,340,620,342
318,342,319,327
392,342,389,330
580,342,572,341
778,344,761,348
874,344,863,357
161,345,167,323
347,346,349,334
624,346,612,346
595,347,586,345
384,348,381,339
586,348,586,345
489,349,484,343
497,349,492,343
605,349,594,349
616,349,604,348
854,349,843,357
329,350,329,334
551,355,542,351
868,355,857,367
431,357,427,347
294,358,293,341
115,359,123,333
470,365,465,356
498,365,493,358
651,366,638,365
279,367,277,348
622,368,613,367
297,369,295,353
496,373,489,366
628,375,620,376
330,378,328,360
618,380,607,378
607,383,597,377
628,384,617,383
619,388,610,384
344,392,336,370
620,395,612,392
379,396,373,380
634,397,625,389
585,404,574,398
336,406,331,388
597,409,585,404
602,422,590,414
608,427,597,419
604,435,592,426
